%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=212885, 2020/04/13 16:28:47.85)
1 11  1.606451181667889827e+01 0 0 2.541284e+00 -6.938695e+00 -4.142431e-02 -3.580224e+00 -2.395517e+00 -2.084595e+00 
2 21  1.168600091946473363e+01 0 0 4.256514e+00 8.414440e-01 -2.458844e+00 -3.425437e+00 -1.463109e+00 3.911567e-01 
3 31  1.130650153002396934e+02 0 0 6.679063e+00 3.679788e-02 -4.628055e+00 -5.637705e+00 -1.462606e+00 -3.927364e+00 
4 41  1.219937239771029525e+01 0 0 6.725899e+00 -4.236105e+00 -4.409065e+00 -4.776024e+00 3.308802e+00 -1.023689e+00 
5 51  4.912550422857297860e+01 0 0 3.159912e+00 -3.238098e+00 -5.604900e-01 -2.655888e+00 -4.115562e-01 -1.147788e+00 
6 61  1.266953641064663749e+01 0 0 2.472349e+00 9.396180e-01 -2.920181e+00 -5.563996e-03 1.250712e+00 -1.847180e+00 
7 71  2.313960887071277117e+00 0 0 3.008297e+00 -3.981437e+00 -2.470049e-01 -8.849721e-01 1.993442e+00 -8.218119e-01 
8 81  3.764781906500130670e+00 0 0 4.085116e+00 -1.781880e-01 -1.866357e+00 -1.920015e+00 2.088584e+00 -3.676861e+00 
9 91  6.876680936218473761e+00 0 0 2.964688e+00 -5.110457e+00 -7.028844e-01 -1.677933e+00 1.345786e+00 -4.599899e+00 
10 101  2.758402794086200416e+01 0 0 2.462366e+00 -4.291930e+00 5.005702e+00 9.207259e-01 -1.590138e+00 -2.519115e+00 
11 111  3.385883288310271855e+00 0 0 3.516919e+00 -1.222864e+00 -7.464822e-01 -3.464691e+00 3.446523e-01 -9.533498e-01 
12 121  7.438113563692406949e+00 0 0 2.444538e+00 -1.723483e+00 -1.172468e+00 -2.757378e+00 4.445479e-01 -2.299848e+00 
13 131  6.568429218876704390e+00 0 0 2.100367e+00 -2.414098e+00 -3.851092e+00 -2.870629e+00 1.669035e-02 -3.430240e+00 
14 141  1.366254423129814199e+01 0 0 4.159383e+00 -3.636962e+00 -2.048699e+00 -2.516497e+00 1.760163e+00 -3.914683e+00 
15 151  2.084770954485105410e+00 0 0 3.010970e+00 -3.345131e+00 -1.865358e+00 -1.502413e+00 2.046220e+00 -3.967851e+00 
16 161  4.250287129009850950e+00 0 0 3.268463e+00 -2.599691e+00 1.579695e+00 -6.261652e-01 7.139375e-01 -3.490588e+00 
17 171  2.826383880735182430e+00 0 0 1.891378e+00 -1.209072e+00 -5.664265e-01 -1.587338e+00 3.000789e-01 -2.813040e+00 
18 181  2.296301640150562040e+00 0 0 4.306940e+00 -4.175707e-01 -2.295659e+00 -2.998641e+00 1.454714e+00 -1.976169e+00 
19 191  4.266435575839132355e+00 0 0 1.511209e+00 -1.239314e+00 -4.008576e-01 -1.818621e+00 -1.120887e-01 -2.634421e+00 
20 201  1.933012171654273192e+00 0 0 2.273153e+00 -1.265194e+00 -8.428598e-01 -1.941984e+00 6.797123e-01 -3.034274e+00 
21 211  1.814147882440267479e+00 0 0 3.883376e+00 -1.234376e+00 -8.279846e-01 -2.858383e+00 1.360457e+00 -2.693840e+00 
22 221  5.466596266021547912e+00 0 0 3.914236e+00 -5.913007e-02 -9.526164e-01 -2.405579e+00 1.025002e+00 -1.611411e+00 
23 231  4.119904230785327748e+00 0 0 4.511819e+00 -6.205921e-02 -9.322273e-01 -2.127484e+00 2.510389e+00 -2.188688e+00 
24 241  2.083032886926442728e+00 0 0 2.996251e+00 -1.996403e+00 -4.229202e-01 -2.167118e+00 1.030002e+00 -2.790612e+00 
25 251  1.996612616845839350e+00 0 0 3.792909e+00 -2.286311e+00 -9.540166e-01 -2.585015e+00 1.629883e+00 -2.347851e+00 
26 261  1.900829877532861367e+00 0 0 4.170491e+00 -1.299012e+00 -1.061186e+00 -2.620745e+00 1.885738e+00 -1.955382e+00 
27 271  1.751322659427557049e+00 0 0 3.320474e+00 -1.436392e+00 -1.501555e+00 -2.527802e+00 1.266128e+00 -2.138704e+00 
28 281  1.834013519271556758e+00 0 0 3.338703e+00 -6.754083e-01 -1.745215e+00 -3.016359e+00 5.423421e-01 -1.923150e+00 
29 291  2.039613132980958365e+00 0 0 3.798207e+00 -1.755917e+00 -1.164349e+00 -3.015803e+00 1.311367e+00 -2.169130e+00 
30 301  1.812847976713756193e+00 0 0 4.071216e+00 -8.945142e-01 -1.432495e+00 -3.059830e+00 1.329523e+00 -2.332087e+00 
31 311  1.767490589627878972e+00 0 0 3.488684e+00 -1.123587e+00 -1.250163e+00 -2.949471e+00 8.849030e-01 -2.144181e+00 
