%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=212885, 2020/04/13 16:28:47.85)
1 11 5.099808e+00 3.676510e+00  1.606451181667889827e+01  1.606451181667889827e+01  3.434474557852665839e+02  2.736664947863609541e+03
2 21 4.698028e+00 3.420562e+00  1.168600091946473363e+01  1.168600091946473363e+01  5.283186768999402148e+02  3.471518636429811068e+03
3 31 5.436685e+00 3.164973e+00  1.168600091946473363e+01  1.130650153002396934e+02  4.424348422449547797e+02  8.288695487107170266e+03
4 41 6.223011e+00 3.230403e+00  1.168600091946473363e+01  1.219937239771029525e+01  8.934131747313048209e+02  6.857771021748277235e+03
5 51 5.811294e+00 3.291842e+00  1.168600091946473363e+01  4.912550422857297860e+01  8.097238016342105311e+02  1.932691943859342473e+03
6 61 5.336001e+00 3.121623e+00  1.168600091946473363e+01  1.266953641064663749e+01  5.488699627039871984e+02  1.907888789173214946e+03
7 71 5.072743e+00 2.969202e+00  2.313960887071277117e+00  2.313960887071277117e+00  1.080405441335319892e+03  7.314853534459437469e+03
8 81 4.308843e+00 2.819487e+00  2.313960887071277117e+00  3.764781906500130670e+00  6.232082151317166563e+01  1.778410734374917411e+03
9 91 4.344063e+00 2.591205e+00  2.313960887071277117e+00  6.876680936218473761e+00  1.895271481062833914e+02  7.174380958348286867e+02
10 101 3.761643e+00 2.510652e+00  2.313960887071277117e+00  2.758402794086200416e+01  4.394158073523527719e+02  1.980889997963911810e+03
11 111 3.440511e+00 2.397998e+00  2.313960887071277117e+00  3.385883288310271855e+00  1.238483720687557224e+02  6.247181841967822038e+02
12 121 3.281436e+00 2.552509e+00  2.313960887071277117e+00  7.438113563692406949e+00  1.596737352226474513e+02  1.281502476915024772e+03
13 131 3.079114e+00 2.570898e+00  2.313960887071277117e+00  6.568429218876704390e+00  6.876114919819710281e+01  1.875733513789492235e+03
14 141 2.953924e+00 2.685658e+00  2.313960887071277117e+00  1.366254423129814199e+01  6.307029177539814668e+01  4.629971417094134836e+02
15 151 2.849548e+00 2.717193e+00  2.084770954485105410e+00  2.084770954485105410e+00  1.956239149470234295e+01  8.417676272424394028e+02
16 161 2.816984e+00 2.738360e+00  2.084770954485105410e+00  4.250287129009850950e+00  6.877014489054980118e+01  1.459933739993357733e+02
17 171 2.552812e+00 2.721392e+00  2.084770954485105410e+00  2.826383880735182430e+00  8.003197858518325347e+01  5.574915149386263238e+02
18 181 2.368804e+00 3.037339e+00  2.084770954485105410e+00  2.296301640150562040e+00  3.908474575140321861e+01  3.482241356171809912e+02
19 191 1.982481e+00 3.136263e+00  2.084770954485105410e+00  4.266435575839132355e+00  2.967927642758529316e+01  1.604546938732920580e+02
20 201 1.598573e+00 3.215380e+00  1.933012171654273192e+00  1.933012171654273192e+00  1.440526550963062213e+01  3.801532577945378080e+02
21 211 1.553800e+00 3.360027e+00  1.814147882440267479e+00  1.814147882440267479e+00  9.965241760693109185e+00  9.708396018171524133e+01
22 221 1.578083e+00 3.470843e+00  1.814147882440267479e+00  5.466596266021547912e+00  4.391842593150400376e+01  8.250916559272167206e+01
23 231 1.236508e+00 3.584299e+00  1.814147882440267479e+00  4.119904230785327748e+00  1.261532878308424621e+01  4.122518077099270073e+01
24 241 1.084805e+00 3.720626e+00  1.814147882440267479e+00  2.083032886926442728e+00  1.244498538129024823e+01  3.981683460941994923e+01
25 251 1.163398e+00 3.776078e+00  1.814147882440267479e+00  1.996612616845839350e+00  4.448231790046539125e+00  2.434965672771014766e+01
26 261 1.262800e+00 4.115281e+00  1.814147882440267479e+00  1.900829877532861367e+00  5.017220193170606635e+00  2.518289223101717056e+01
27 271 1.174010e+00 4.174783e+00  1.751322659427557049e+00  1.751322659427557049e+00  5.178604413364135794e+00  4.088510869722239960e+01
28 281 1.157344e+00 4.485496e+00  1.751322659427557049e+00  1.834013519271556758e+00  1.065184593297488291e+01  4.662856737058105239e+01
